Organization,Followed On
Bear Standing Tall Inc.,Sat Sep 27 12:17:40 UTC 2025
TAPNET,Wed Apr 02 17:45:25 UTC 2025
MaxGood.work,Tue Apr 30 12:03:01 UTC 2024
Agile Coach Camp Canada,Tue Mar 12 00:58:53 UTC 2024
Web Development,Fri Mar 10 18:31:27 UTC 2023
Scrum,Fri Mar 10 18:28:41 UTC 2023
Agile Project Management,Fri Mar 10 17:53:29 UTC 2023
Agile Methodologies,Fri Mar 10 17:46:02 UTC 2023
Web Applications,Fri Mar 10 17:27:20 UTC 2023
RBC,Mon Jan 25 19:21:12 UTC 2021
SHIFT314 with Michael K Sahota,Thu Jan 07 17:32:35 UTC 2021
Morgan McKinley,Thu Nov 28 16:23:03 UTC 2019
Sallie Mae,Thu Feb 28 11:12:57 UTC 2019
Agile Testing Days USA,Sun Dec 17 11:21:45 UTC 2017
Coding Culture by Mojility,Sun Jul 09 22:04:21 UTC 2017
McMaster University,Sun Sep 04 19:56:33 UTC 2016
Canada Learning Code,Wed Dec 09 14:34:54 UTC 2015
ManaCrowd,Wed Jun 25 15:13:22 UTC 2014
Durham Region (The Regional Municipality of Durham),Tue Mar 11 14:04:38 UTC 2014
Mojility Inc.,Wed Feb 19 17:48:36 UTC 2014