Date,Status,FullName
2025-10-12 16:46:55,Active,Justin Searls
2025-10-08 20:54:18,Active,Seb Rose
2025-09-27 12:17:52,Active,Jason Carter
2025-09-27 12:09:06,Active,Bridget McDermid
2025-07-29 12:19:37,Active,Sarah Mei
2025-07-23 20:35:49,Active,Aslak HellesÃ¸y
2025-07-19 19:22:56,Active,Arseny Smoogly
2025-07-15 10:18:29,Active,Chad Fowler
2025-07-05 14:41:57,Active,Andrea Laforgia
2025-07-05 03:31:55,Active,Jukka Paulin
2025-07-03 10:51:00,Active,Dave Farley
2025-06-16 12:24:30,Active,Garrick West
2025-06-16 10:41:41,Active,Jesse Warden
2025-05-16 10:08:27,Active,"Andrew Constable, MBA, BSMP, XPP-G"
2025-05-13 13:45:00,Active,ðŸª— Joey de Villa
2025-05-01 21:19:36,Active,Moein Roghani
2025-04-14 23:55:03,Active,Dylan Beattie
2025-03-09 20:02:04,Active,Arlene Dickinson
2025-03-09 20:02:03,Active,Dave McKay
2025-02-22 14:08:46,Active,Barry O'Reilly
2025-02-22 13:10:47,Active,Cassie Kozyrkov
2025-02-03 01:45:07,Active,Denis O.
2024-12-16 14:22:01,Active,Jessica Kerr
2024-10-17 21:56:18,Active,Elizabeth Liashova
2024-09-06 23:15:45,Active,Adam Tornhill
2024-08-09 01:53:49,Active,Andrea Goulet
2024-05-15 11:46:34,Active,L. David Marquet
2024-05-12 14:58:03,Active,Manuel Pais
2024-05-12 11:50:51,Active,Dorota Mleczko
2024-04-20 10:53:57,Active,John Cutler
2024-02-25 14:22:38,Active,Annie Kelly
2024-01-22 13:21:12,Active,Lyssa Adkins
2023-10-13 12:47:54,Active,Kent Beck
2023-10-13 12:47:51,Active,Angie Jones
2023-10-13 12:47:41,Active,Michael Bolton
2023-10-01 12:37:51,Active,Shilpi Singhal
2023-08-11 11:51:02,Active,Damon Poole
2023-03-13 14:14:13,Active,Katie Percival
2023-03-01 12:01:32,Active,Lisa Crispin
2023-02-24 17:53:09,Active,Angela Belle Agresto
2022-07-10 12:38:27,Active,Dr. Richard Claydon
2018-09-07 00:46:50,Active,Nuno Gervasio
2018-09-07 00:46:31,Active,Ginny Catherine Ghezzo
2017-12-29 22:15:57,Active,Nicola  Smith
2016-01-23 00:00:00,Active,Bill Gates
2013-01-04 00:00:00,Active,Edward Henry
2012-03-12 00:00:00,Active,Ashley Haroutunian
